Country,Year,VALUE
Spain,2017,1127.0
Estonia,2017,291.0
Finland,2017,3565.0
France,2017,1966.0
United Kingdom (Scotland),2017,188.0
Greece,2017,902.0
Grenada,2017,0.0
Guatemala,2017,5905.0
Guyana,2017,2.0
Honduras,2017,2221.0
Croatia,2017,761.0
Hungary,2017,1281.0
Indonesia,2017,505.0
Ireland,2017,4.0
Italy,2017,3572.0
Jamaica,2017,393.0
Kazakhstan,2017,2452.0
Kenya,2017,75.0
Saint Kitts and Nevis,2017,2.0
Liechtenstein,2017,6.0
Lithuania,2017,749.0
Luxembourg,2017,1.0
Latvia,2017,185.0
Morocco,2017,19145.0
Republic of Moldova,2017,1163.0
Maldives,2017,541.0
Mexico,2017,19076.0
Malta,2017,3.0
Montenegro,2017,76.0
Mongolia,2017,150.0
Netherlands (Kingdom of the),2017,6740.0
Norway,2017,82.0
Oman,2017,26.0
Panama,2017,283.0
Peru,2017,568.0
Philippines,2017,48.0
Poland,2017,7417.0
Portugal,2017,176.0
Paraguay,2017,28.0
State of Palestine,2017,906.0
Romania,2017,5435.0
Russian Federation,2017,29634.0
Saudi Arabia,2017,4379.0
Singapore,2017,1247.0
El Salvador,2017,39.0
Serbia,2017,1500.0
Slovakia,2017,167.0
Slovenia,2017,971.0
Sweden,2017,21095.0
Uganda,2017,556.0
Ukraine,2017,1170.0
United States of America,2017,15967.0
Albania,2018,1033.0
Andorra,2018,0.0
Armenia,2018,1353.0
Austria,2018,3113.0
Azerbaijan,2018,356.0
Belgium,2018,4729.0
Bulgaria,2018,673.0
Bahamas,2018,679.0
Bosnia and Herzegovina,2018,430.0
Bolivia (Plurinational State of),2018,707.0
Barbados,2018,1.0
Bhutan,2018,5.0
Switzerland,2018,19.0
Chile,2018,2786.0
Cameroon,2018,187.0
Colombia,2018,11142.0
Costa Rica,2018,2729.0
Cyprus,2018,17.0
Czechia,2018,2596.0
Germany,2018,3970.0
Djibouti,2018,115.0
Dominica,2018,29.0
Denmark,2018,4833.0
Algeria,2018,1124.0
Ecuador,2018,1122.0
Spain,2018,976.0
Estonia,2018,376.0
Finland,2018,3846.0
France,2018,2356.0
United Kingdom (Scotland),2018,188.0
Greece,2018,658.0
Grenada,2018,0.0
Guatemala,2018,5316.0
Guyana,2018,0.0
Honduras,2018,387.0
Croatia,2018,515.0
Hungary,2018,2238.0
Indonesia,2018,496.0
Ireland,2018,6.0
Italy,2018,3367.0
Jamaica,2018,220.0
Jordan,2018,163.0
Kenya,2018,119.0
Saint Kitts and Nevis,2018,1.0
Saint Lucia,2018,1.0
Liechtenstein,2018,14.0
Lithuania,2018,555.0
Luxembourg,2018,3.0
Latvia,2018,242.0
"China, Macao Special Administrative Region",2018,0.0
Morocco,2018,21356.0
Republic of Moldova,2018,1025.0
Mexico,2018,23421.0
Malta,2018,8.0
Montenegro,2018,242.0
Mongolia,2018,362.0
Malaysia,2018,833.0
Netherlands (Kingdom of the),2018,6630.0
Norway,2018,36.0
Oman,2018,31.0
Panama,2018,348.0
Peru,2018,781.0
Philippines,2018,66.0
Poland,2018,10036.0
Portugal,2018,166.0
Paraguay,2018,1568.0
State of Palestine,2018,785.0
Romania,2018,4379.0
Russian Federation,2018,30495.0
Saudi Arabia,2018,7307.0
Singapore,2018,1360.0
El Salvador,2018,55.0
Serbia,2018,1179.0
Slovakia,2018,151.0
Slovenia,2018,213.0
Sweden,2018,21031.0
Syrian Arab Republic,2018,12.0
Thailand,2018,7761.0
Ukraine,2018,1936.0
United States of America,2018,14765.0
Albania,2019,1330.0
Andorra,2019,0.0
United Arab Emirates,2019,71.0
Armenia,2019,1280.0
Austria,2019,3158.0
Azerbaijan,2019,362.0
Belgium,2019,4849.0
Bulgaria,2019,585.0
Bahamas,2019,800.0
Bosnia and Herzegovina,2019,751.0
Belize,2019,2.0
Bolivia (Plurinational State of),2019,308.0
Barbados,2019,6.0
Bhutan,2019,7.0
Switzerland,2019,14.0
Chile,2019,570.0
Cameroon,2019,413.0
Colombia,2019,11142.0
Costa Rica,2019,3306.0
Cyprus,2019,15.0
Czechia,2019,2339.0
Germany,2019,4147.0
Dominica,2019,59.0
Denmark,2019,5060.0
Algeria,2019,1124.0
Ecuador,2019,1128.0
Spain,2019,974.0
Estonia,2019,72.0
Finland,2019,3960.0
France,2019,2395.0
United Kingdom (Scotland),2019,181.0
Georgia,2019,635.0
Greece,2019,614.0
Grenada,2019,0.0
Guatemala,2019,5761.0
Guyana,2019,22.0
Honduras,2019,256.0
Croatia,2019,785.0
Hungary,2019,1806.0
Ireland,2019,5.0
Italy,2019,3469.0
Jamaica,2019,32.0
Jordan,2019,162.0
Kenya,2019,130.0
Saint Kitts and Nevis,2019,0.0
Liechtenstein,2019,11.0
Lithuania,2019,495.0
Luxembourg,2019,1.0
Latvia,2019,354.0
"China, Macao Special Administrative Region",2019,1.0
Republic of Moldova,2019,951.0
Mexico,2019,26391.0
North Macedonia,2019,7.0
Malta,2019,4.0
Montenegro,2019,172.0
Mongolia,2019,523.0
Malaysia,2019,1039.0
Netherlands (Kingdom of the),2019,6605.0
Norway,2019,47.0
Oman,2019,73.0
Panama,2019,911.0
Peru,2019,1041.0
Philippines,2019,65.0
Poland,2019,6241.0
Portugal,2019,170.0
Paraguay,2019,1316.0
Romania,2019,4090.0
Russian Federation,2019,30991.0
Saudi Arabia,2019,8906.0
Singapore,2019,590.0
El Salvador,2019,73.0
Serbia,2019,1053.0
Slovakia,2019,136.0
Slovenia,2019,219.0
Sweden,2019,20617.0
Thailand,2019,7411.0
Trinidad and Tobago,2019,11.0
Ukraine,2019,1752.0
Uruguay,2019,418.0
United States of America,2019,13497.0
Albania,2020,847.0
United Arab Emirates,2020,69.0
Armenia,2020,1114.0
Austria,2020,2879.0
Azerbaijan,2020,311.0
Belgium,2020,4353.0
Bulgaria,2020,486.0
Bahamas,2020,651.0
Bosnia and Herzegovina,2020,903.0
Belize,2020,1.0
Bolivia (Plurinational State of),2020,311.0
Barbados,2020,0.0
Bhutan,2020,2.0
Switzerland,2020,21.0
Chile,2020,397.0
Cameroon,2020,185.0
Colombia,2020,10134.0
Costa Rica,2020,3133.0
Cyprus,2020,13.0
Czechia,2020,1689.0
Germany,2020,4170.0
Dominica,2020,24.0
Denmark,2020,3873.0
Algeria,2020,1496.0
Ecuador,2020,1149.0
Spain,2020,762.0
Estonia,2020,81.0
Finland,2020,4041.0
France,2020,2298.0
United Kingdom (Scotland),2020,129.0
Greece,2020,607.0
Grenada,2020,0.0
Guatemala,2020,5041.0
Guyana,2020,37.0
Honduras,2020,199.0
Croatia,2020,538.0
Hungary,2020,2377.0
Ireland,2020,8.0
Italy,2020,3770.0
Jamaica,2020,33.0
Jordan,2020,117.0
Kazakhstan,2020,2193.0
Kenya,2020,133.0
Saint Kitts and Nevis,2020,0.0
Liechtenstein,2020,10.0
Lithuania,2020,551.0
Luxembourg,2020,5.0
Latvia,2020,182.0
"China, Macao Special Administrative Region",2020,2.0
Morocco,2020,24571.0
Mexico,2020,24627.0
North Macedonia,2020,6.0
Malta,2020,16.0
Montenegro,2020,154.0
Mongolia,2020,314.0
Mauritius,2020,538.0
Malaysia,2020,857.0
Netherlands (Kingdom of the),2020,5890.0
Norway,2020,40.0
New Zealand,2020,0.0
Oman,2020,36.0
Panama,2020,693.0
Peru,2020,1602.0
Poland,2020,7505.0
Portugal,2020,154.0
Paraguay,2020,1013.0
Romania,2020,3414.0
Russian Federation,2020,30813.0
Singapore,2020,918.0
El Salvador,2020,53.0
Serbia,2020,746.0
Slovakia,2020,131.0
Slovenia,2020,312.0
Sweden,2020,19791.0
Thailand,2020,6653.0
Trinidad and Tobago,2020,1.0
Ukraine,2020,1818.0
Uruguay,2020,469.0
United States of America,2020,9393.0
Albania,2021,977.0
United Arab Emirates,2021,84.0
Armenia,2021,950.0
Antigua and Barbuda,2021,0.0
Austria,2021,2915.0
Azerbaijan,2021,458.0
Belgium,2021,4919.0
Bulgaria,2021,565.0
Bahamas,2021,759.0
Bosnia and Herzegovina,2021,779.0
Belize,2021,0.0
Bolivia (Plurinational State of),2021,367.0
Barbados,2021,2.0
Switzerland,2021,60.0
Chile,2021,362.0
Colombia,2021,9879.0
Costa Rica,2021,3237.0
Cyprus,2021,12.0
Czechia,2021,1396.0
Germany,2021,5110.0
Dominica,2021,41.0
Denmark,2021,4777.0
Algeria,2021,1579.0
Ecuador,2021,996.0
Spain,2021,1063.0
Estonia,2021,87.0
Finland,2021,3700.0
France,2021,2745.0
United Kingdom (Scotland),2021,119.0
Greece,2021,757.0
Grenada,2021,1.0
Guatemala,2021,5374.0
Guyana,2021,42.0
Honduras,2021,760.0
Croatia,2021,912.0
Hungary,2021,6516.0
Indonesia,2021,364.0
Ireland,2021,9.0
Italy,2021,3842.0
Jamaica,2021,5.0
Jordan,2021,86.0
Kenya,2021,96.0
Kyrgyzstan,2021,2030.0
Saint Kitts and Nevis,2021,5.0
Saint Lucia,2021,0.0
Liechtenstein,2021,14.0
Lithuania,2021,624.0
Luxembourg,2021,4.0
Latvia,2021,205.0
"China, Macao Special Administrative Region",2021,1.0
Mexico,2021,24874.0
North Macedonia,2021,7.0
Malta,2021,26.0
Montenegro,2021,178.0
Mongolia,2021,335.0
Mauritius,2021,623.0
Malaysia,2021,828.0
Namibia,2021,82.0
Netherlands (Kingdom of the),2021,5320.0
Norway,2021,31.0
New Zealand,2021,0.0
Oman,2021,19.0
Panama,2021,841.0
Peru,2021,1631.0
Poland,2021,6109.0
Portugal,2021,212.0
Paraguay,2021,1093.0
Qatar,2021,8.0
Romania,2021,4017.0
Singapore,2021,1088.0
El Salvador,2021,71.0
Serbia,2021,1171.0
Slovakia,2021,186.0
Slovenia,2021,249.0
Sweden,2021,21281.0
Eswatini,2021,0.0
Thailand,2021,6671.0
Uruguay,2021,406.0
Holy See,2021,0.0
Saint Vincent and the Grenadines,2021,1.0
Albania,2022,1180.0
Armenia,2022,898.0
Antigua and Barbuda,2022,0.0
Austria,2022,3085.0
Belgium,2022,5274.0
Bulgaria,2022,534.0
Bahamas,2022,538.0
Bosnia and Herzegovina,2022,694.0
Belize,2022,3.0
Bolivia (Plurinational State of),2022,431.0
Barbados,2022,0.0
Switzerland,2022,57.0
Chile,2022,359.0
Colombia,2022,9739.0
Costa Rica,2022,3240.0
Cyprus,2022,24.0
Czechia,2022,1610.0
Germany,2022,4928.0
Dominica,2022,27.0
Denmark,2022,3481.0
Ecuador,2022,864.0
Spain,2022,1515.0
Estonia,2022,165.0
Finland,2022,3672.0
France,2022,2504.0
United Kingdom (Scotland),2022,145.0
Greece,2022,652.0
Grenada,2022,0.0
Guatemala,2022,5118.0
Guyana,2022,3.0
Honduras,2022,905.0
Croatia,2022,1187.0
Hungary,2022,1111.0
Indonesia,2022,261.0
Ireland,2022,9.0
Italy,2022,3671.0
Jamaica,2022,3.0
Jordan,2022,120.0
Kenya,2022,95.0
Kyrgyzstan,2022,1703.0
Saint Kitts and Nevis,2022,2.0
Saint Lucia,2022,0.0
Liechtenstein,2022,11.0
Lithuania,2022,525.0
Luxembourg,2022,0.0
Latvia,2022,199.0
"China, Macao Special Administrative Region",2022,0.0
Morocco,2022,20601.0
Mexico,2022,22051.0
North Macedonia,2022,16.0
Malta,2022,23.0
Myanmar,2022,42.0
Montenegro,2022,336.0
Malaysia,2022,820.0
Netherlands (Kingdom of the),2022,5455.0
Norway,2022,41.0
New Zealand,2022,0.0
Oman,2022,25.0
Panama,2022,912.0
Peru,2022,1412.0
Poland,2022,5373.0
Portugal,2022,175.0
Paraguay,2022,1178.0
Romania,2022,3935.0
Singapore,2022,1322.0
El Salvador,2022,56.0
Serbia,2022,1001.0
Slovakia,2022,137.0
Slovenia,2022,625.0
Sweden,2022,19490.0
Thailand,2022,6248.0
Uruguay,2022,397.0
United States of America,2022,79430.0
Holy See,2022,0.0
Saint Vincent and the Grenadines,2022,1.0
Zimbabwe,2022,40.0
Albania,2023,874.0
Armenia,2023,1404.0
Antigua and Barbuda,2023,0.0
Austria,2023,4503.0
Belgium,2023,5005.0
Bulgaria,2023,572.0
Bosnia and Herzegovina,2023,693.0
Bolivia (Plurinational State of),2023,559.0
Switzerland,2023,30.0
Chile,2023,587.0
Colombia,2023,11492.0
Costa Rica,2023,3285.0
Cyprus,2023,7.0
Czechia,2023,1581.0
Germany,2023,5312.0
Denmark,2023,7171.0
Algeria,2023,814.0
Ecuador,2023,904.0
Spain,2023,1187.0
Estonia,2023,71.0
Finland,2023,4082.0
France,2023,2584.0
United Kingdom (Scotland),2023,215.0
Greece,2023,626.0
Grenada,2023,0.0
Guatemala,2023,4196.0
Guyana,2023,1.0
Honduras,2023,766.0
Croatia,2023,862.0
Hungary,2023,2117.0
Ireland,2023,2.0
Italy,2023,2760.0
Jamaica,2023,185.0
Jordan,2023,98.0
Kyrgyzstan,2023,1461.0
Saint Lucia,2023,0.0
Liechtenstein,2023,13.0
Lithuania,2023,329.0
Latvia,2023,157.0
Morocco,2023,24006.0
Mexico,2023,24737.0
North Macedonia,2023,22.0
Malta,2023,77.0
Myanmar,2023,13.0
Montenegro,2023,104.0
Malaysia,2023,1026.0
Netherlands (Kingdom of the),2023,5425.0
Norway,2023,28.0
New Zealand,2023,0.0
Oman,2023,17.0
Philippines,2023,25.0
Poland,2023,3429.0
Portugal,2023,223.0
Paraguay,2023,1092.0
Romania,2023,3246.0
Singapore,2023,635.0
Serbia,2023,701.0
Slovakia,2023,82.0
Slovenia,2023,212.0
Sweden,2023,20784.0
Thailand,2023,12129.0
Uruguay,2023,394.0
Holy See,2023,46.0
Zimbabwe,2023,52.0
Armenia,2013,80.0
Austria,2013,22.0
Switzerland,2013,14.0
Chile,2013,28.0
Colombia,2013,911.0
Cyprus,2013,12.0
Czechia,2013,282.0
Germany,2013,7030.0
Denmark,2013,8.0
Finland,2013,32.0
United Kingdom (Scotland),2013,5.0
Guatemala,2013,519.0
Honduras,2013,1.0
Hungary,2013,335.0
Kenya,2013,2.0
Lithuania,2013,104.0
"China, Macao Special Administrative Region",2013,4.0
Poland,2013,6266.0
Portugal,2013,58.0
Russian Federation,2013,14078.0
Serbia,2013,207.0
Slovakia,2013,46.0
Slovenia,2013,41.0
Sweden,2013,122.0
Türkiye,2013,2450.0
Kosovo under UNSCR 1244,2013,67.0
Armenia,2014,66.0
Austria,2014,66.0
Belgium,2014,99.0
Bulgaria,2014,101.0
Bahamas,2014,1.0
Barbados,2014,0.0
Bhutan,2014,6.0
Switzerland,2014,76.0
Chile,2014,23.0
Colombia,2014,2187.0
Costa Rica,2014,8.0
Cyprus,2014,10.0
Czechia,2014,185.0
Germany,2014,20263.0
Dominica,2014,0.0
Denmark,2014,9.0
Finland,2014,22.0
United Kingdom (Northern Ireland),2014,0.0
United Kingdom (Scotland),2014,2.0
Grenada,2014,0.0
Guatemala,2014,587.0
Honduras,2014,1.0
Hungary,2014,112.0
Italy,2014,488.0
Kenya,2014,88.0
Lebanon,2014,1.0
Lithuania,2014,134.0
Luxembourg,2014,2.0
"China, Macao Special Administrative Region",2014,6.0
Monaco,2014,5.0
Maldives,2014,6.0
North Macedonia,2014,24.0
Myanmar,2014,2.0
New Zealand,2014,0.0
Oman,2014,36.0
Poland,2014,5516.0
Portugal,2014,82.0
Russian Federation,2014,13912.0
Serbia,2014,147.0
Slovakia,2014,105.0
Slovenia,2014,63.0
Sweden,2014,108.0
Türkiye,2014,2927.0
Uzbekistan,2014,2338.0
Kosovo under UNSCR 1244,2014,56.0
Albania,2015,214.0
Armenia,2015,97.0
Austria,2015,14.0
Belgium,2015,90.0
Bulgaria,2015,84.0
Bahamas,2015,3.0
Belarus,2015,1112.0
Bolivia (Plurinational State of),2015,1.0
Barbados,2015,0.0
Bhutan,2015,1.0
Switzerland,2015,46.0
Chile,2015,21.0
Colombia,2015,1946.0
Costa Rica,2015,5.0
Cyprus,2015,27.0
Czechia,2015,190.0
Germany,2015,8644.0
Dominica,2015,0.0
Denmark,2015,21.0
Ecuador,2015,131.0
Finland,2015,19.0
United Kingdom (Northern Ireland),2015,0.0
United Kingdom (Scotland),2015,6.0
Grenada,2015,0.0
Guatemala,2015,640.0
Honduras,2015,1.0
Italy,2015,548.0
Kenya,2015,42.0
Kyrgyzstan,2015,123.0
Lebanon,2015,10.0
Lithuania,2015,96.0
Luxembourg,2015,3.0
"China, Macao Special Administrative Region",2015,2.0
Monaco,2015,2.0
Maldives,2015,3.0
North Macedonia,2015,12.0
Malta,2015,0.0
Myanmar,2015,4.0
Mongolia,2015,32.0
New Zealand,2015,0.0
Oman,2015,11.0
Poland,2015,3887.0
Portugal,2015,73.0
Romania,2015,1873.0
Russian Federation,2015,15740.0
Serbia,2015,460.0
Slovakia,2015,102.0
Slovenia,2015,89.0
Sweden,2015,169.0
Uruguay,2015,7.0
Uzbekistan,2015,2001.0
Kosovo under UNSCR 1244,2015,61.0
Albania,2016,256.0
Andorra,2016,0.0
United Arab Emirates,2016,72.0
Armenia,2016,71.0
Austria,2016,20.0
Azerbaijan,2016,44.0
Belgium,2016,93.0
Bulgaria,2016,132.0
Bahamas,2016,0.0
Bosnia and Herzegovina,2016,29.0
Belarus,2016,1254.0
Bolivia (Plurinational State of),2016,2.0
Barbados,2016,0.0
Bhutan,2016,3.0
Switzerland,2016,20.0
Chile,2016,15.0
China,2016,17847.0
Colombia,2016,1646.0
Costa Rica,2016,9.0
Cyprus,2016,38.0
Czechia,2016,98.0
Germany,2016,6502.0
Dominica,2016,0.0
Denmark,2016,53.0
Ecuador,2016,79.0
Spain,2016,76.0
Finland,2016,25.0
France,2016,190.0
United Kingdom (Northern Ireland),2016,0.0
United Kingdom (Scotland),2016,7.0
Grenada,2016,0.0
Guatemala,2016,678.0
Guyana,2016,0.0
Honduras,2016,1.0
Croatia,2016,222.0
Hungary,2016,968.0
Italy,2016,525.0
Jamaica,2016,3.0
Kenya,2016,62.0
Kyrgyzstan,2016,100.0
Saint Kitts and Nevis,2016,0.0
Lebanon,2016,7.0
Liechtenstein,2016,0.0
Lithuania,2016,62.0
Luxembourg,2016,5.0
Latvia,2016,232.0
"China, Macao Special Administrative Region",2016,6.0
Morocco,2016,7149.0
Monaco,2016,1.0
Mexico,2016,1582.0
North Macedonia,2016,13.0
Malta,2016,1.0
Myanmar,2016,8.0
Montenegro,2016,20.0
Mongolia,2016,47.0
New Zealand,2016,0.0
Oman,2016,20.0
Peru,2016,44.0
Philippines,2016,5.0
Poland,2016,6166.0
Portugal,2016,69.0
Paraguay,2016,28.0
Romania,2016,1173.0
Russian Federation,2016,16047.0
Saudi Arabia,2016,1809.0
Singapore,2016,1313.0
El Salvador,2016,1.0
Serbia,2016,147.0
Slovakia,2016,71.0
Slovenia,2016,199.0
Sweden,2016,251.0
Thailand,2016,18.0
Uruguay,2016,8.0
Uzbekistan,2016,1733.0
Kosovo under UNSCR 1244,2016,48.0
Albania,2017,297.0
Andorra,2017,0.0
United Arab Emirates,2017,67.0
Armenia,2017,163.0
Austria,2017,30.0
Azerbaijan,2017,33.0
Belgium,2017,100.0
Benin,2017,295.0
Bulgaria,2017,139.0
Bahamas,2017,6.0
Bosnia and Herzegovina,2017,17.0
Belarus,2017,1922.0
Bolivia (Plurinational State of),2017,2.0
Barbados,2017,0.0
Bhutan,2017,0.0
Switzerland,2017,25.0
Chile,2017,30.0
Colombia,2017,2591.0
Costa Rica,2017,57.0
Cyprus,2017,30.0
Czechia,2017,92.0
Germany,2017,3850.0
Dominica,2017,0.0
Denmark,2017,27.0
Ecuador,2017,82.0
Spain,2017,72.0
Estonia,2017,165.0
Finland,2017,17.0
France,2017,204.0
United Kingdom (Northern Ireland),2017,0.0
United Kingdom (Scotland),2017,1.0
Greece,2017,119.0
Grenada,2017,0.0
Guatemala,2017,530.0
Guyana,2017,2.0
Honduras,2017,19.0
Croatia,2017,193.0
Hungary,2017,1005.0
Italy,2017,533.0
Jamaica,2017,2.0
Kazakhstan,2017,1245.0
Kenya,2017,34.0
Kyrgyzstan,2017,57.0
Saint Kitts and Nevis,2017,0.0
Lebanon,2017,7.0
Lithuania,2017,86.0
Luxembourg,2017,1.0
Latvia,2017,125.0
"China, Macao Special Administrative Region",2017,6.0
Morocco,2017,19045.0
Republic of Moldova,2017,11.0
Maldives,2017,6.0
Mexico,2017,1146.0
North Macedonia,2017,4.0
Malta,2017,1.0
Montenegro,2017,4.0
Mongolia,2017,27.0
New Zealand,2017,0.0
Oman,2017,18.0
Peru,2017,25.0
Philippines,2017,17.0
Poland,2017,5013.0
Portugal,2017,84.0
Paraguay,2017,16.0
Romania,2017,855.0
Russian Federation,2017,13176.0
Saudi Arabia,2017,2064.0
Singapore,2017,1155.0
El Salvador,2017,1.0
Serbia,2017,147.0
Slovakia,2017,128.0
Slovenia,2017,80.0
Sweden,2017,287.0
Ukraine,2017,704.0
Uruguay,2017,14.0
Uzbekistan,2017,1845.0
Kosovo under UNSCR 1244,2017,44.0
Albania,2018,274.0
Andorra,2018,0.0
Armenia,2018,461.0
Austria,2018,24.0
Azerbaijan,2018,79.0
Belgium,2018,97.0
Bulgaria,2018,167.0
Bahamas,2018,1.0
Bosnia and Herzegovina,2018,31.0
Belarus,2018,1999.0
Bolivia (Plurinational State of),2018,0.0
Barbados,2018,1.0
Bhutan,2018,1.0
Switzerland,2018,18.0
Chile,2018,199.0
Cameroon,2018,183.0
Colombia,2018,706.0
Costa Rica,2018,54.0
Cyprus,2018,16.0
Czechia,2018,281.0
Germany,2018,3970.0
Djibouti,2018,6.0
Dominica,2018,0.0
Denmark,2018,315.0
Algeria,2018,90.0
Ecuador,2018,110.0
Spain,2018,80.0
Estonia,2018,177.0
Finland,2018,27.0
France,2018,231.0
United Kingdom (Northern Ireland),2018,1.0
United Kingdom (Scotland),2018,2.0
Greece,2018,231.0
Grenada,2018,0.0
Guatemala,2018,594.0
Guyana,2018,0.0
Honduras,2018,14.0
Croatia,2018,45.0
Hungary,2018,1871.0
Iraq (Central Iraq),2018,164.0
Israel,2018,85.0
Italy,2018,408.0
Jamaica,2018,5.0
Jordan,2018,140.0
Kenya,2018,47.0
Kyrgyzstan,2018,168.0
Saint Kitts and Nevis,2018,0.0
Lithuania,2018,38.0
Luxembourg,2018,3.0
