Iso3_code,Country,Region,Category,Sex,Year
ITA,Italy,Europe,Total,Total,2021
AFG,Afghanistan,Asia,Total,Female,2012
AFG,Afghanistan,Asia,Total,Male,2012
AFG,Afghanistan,Asia,Total,Total,2012
ALB,Albania,Europe,Corruption,Total,2015
ALB,Albania,Europe,Corruption,Total,2016
ALB,Albania,Europe,Corruption,Total,2017
ALB,Albania,Europe,Corruption,Total,2018
ALB,Albania,Europe,Corruption,Total,2019
ALB,Albania,Europe,Corruption,Total,2020
ALB,Albania,Europe,Corruption,Total,2021
ALB,Albania,Europe,Corruption,Total,2022
ALB,Albania,Europe,Corruption,Total,2023
ALB,Albania,Europe,Corruption: Bribery,Total,2015
ALB,Albania,Europe,Corruption: Bribery,Total,2016
ALB,Albania,Europe,Corruption: Bribery,Total,2017
ALB,Albania,Europe,Corruption: Bribery,Total,2018
ALB,Albania,Europe,Corruption: Bribery,Total,2019
ALB,Albania,Europe,Corruption: Bribery,Total,2020
ALB,Albania,Europe,Corruption: Bribery,Total,2021
ALB,Albania,Europe,Corruption: Bribery,Total,2022
ALB,Albania,Europe,Corruption: Bribery,Total,2023
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2015
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2016
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2017
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2018
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2019
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2020
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2021
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2022
ALB,Albania,Europe,Corruption: Other acts of corruption,Total,2023
ALB,Albania,Europe,Smuggling of migrants,Total,2016
ALB,Albania,Europe,Smuggling of migrants,Total,2017
ALB,Albania,Europe,Smuggling of migrants,Total,2018
ALB,Albania,Europe,Smuggling of migrants,Total,2019
ALB,Albania,Europe,Smuggling of migrants,Total,2020
ALB,Albania,Europe,Smuggling of migrants,Total,2021
ALB,Albania,Europe,Smuggling of migrants,Total,2022
ALB,Albania,Europe,Smuggling of migrants,Total,2023
ALB,Albania,Europe,Burglary,Total,2005
ALB,Albania,Europe,Burglary,Total,2006
ALB,Albania,Europe,Burglary,Total,2007
ALB,Albania,Europe,Burglary,Total,2008
ALB,Albania,Europe,Burglary,Total,2009
ALB,Albania,Europe,Burglary,Total,2010
ALB,Albania,Europe,Burglary,Total,2011
ALB,Albania,Europe,Burglary,Total,2012
ALB,Albania,Europe,Burglary,Total,2013
ALB,Albania,Europe,Burglary,Total,2014
ALB,Albania,Europe,Burglary,Total,2015
ALB,Albania,Europe,Burglary,Total,2021
ALB,Albania,Europe,Burglary,Total,2022
ALB,Albania,Europe,Theft,Total,2005
ALB,Albania,Europe,Theft,Total,2006
ALB,Albania,Europe,Theft,Total,2007
ALB,Albania,Europe,Theft,Total,2008
ALB,Albania,Europe,Theft,Total,2009
ALB,Albania,Europe,Theft,Total,2010
ALB,Albania,Europe,Theft,Total,2011
ALB,Albania,Europe,Theft,Total,2012
ALB,Albania,Europe,Theft,Total,2013
ALB,Albania,Europe,Theft,Total,2014
ALB,Albania,Europe,Theft,Total,2015
ALB,Albania,Europe,Theft,Total,2016
ALB,Albania,Europe,Theft,Total,2017
ALB,Albania,Europe,Theft,Total,2018
ALB,Albania,Europe,Theft,Total,2019
ALB,Albania,Europe,Theft,Total,2020
ALB,Albania,Europe,Theft,Total,2021
ALB,Albania,Europe,Theft,Total,2022
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2005
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2006
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2007
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2008
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2009
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2010
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2011
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2012
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2013
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2014
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2015
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2016
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2017
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2018
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2019
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2020
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2021
ALB,Albania,Europe,Theft: of a motorized vehicle,Total,2022
ALB,Albania,Europe,Fraud,Total,2015
ALB,Albania,Europe,Fraud,Total,2016
ALB,Albania,Europe,Fraud,Total,2017
ALB,Albania,Europe,Fraud,Total,2018
ALB,Albania,Europe,Fraud,Total,2019
ALB,Albania,Europe,Fraud,Total,2020
ALB,Albania,Europe,Fraud,Total,2021
ALB,Albania,Europe,Fraud,Total,2022
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2015
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2016
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2017
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2018
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2019
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2020
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2021
ALB,Albania,Europe,Fraud: Cyber-related (Cy),Total,2022
ALB,Albania,Europe,Money laundering,Total,2015
ALB,Albania,Europe,Money laundering,Total,2016
ALB,Albania,Europe,Money laundering,Total,2017
ALB,Albania,Europe,Money laundering,Total,2018
ALB,Albania,Europe,Money laundering,Total,2019
ALB,Albania,Europe,Money laundering,Total,2020
ALB,Albania,Europe,Money laundering,Total,2021
ALB,Albania,Europe,Money laundering,Total,2022
ALB,Albania,Europe,Unlawful access to a computer system,Total,2015
ALB,Albania,Europe,Unlawful access to a computer system,Total,2016
ALB,Albania,Europe,Unlawful access to a computer system,Total,2017
ALB,Albania,Europe,Unlawful access to a computer system,Total,2018
ALB,Albania,Europe,Unlawful access to a computer system,Total,2019
ALB,Albania,Europe,Unlawful access to a computer system,Total,2020
ALB,Albania,Europe,Unlawful access to a computer system,Total,2021
ALB,Albania,Europe,Unlawful access to a computer system,Total,2022
ALB,Albania,Europe,Unlawful access to a computer system,Total,2023
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2015
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2016
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2017
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2018
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2019
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2020
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2021
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2022
ALB,Albania,Europe,Unlawful interference with a computer system or computer data,Total,2023
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2015
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2016
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2017
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2018
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2019
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2020
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2021
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2022
ALB,Albania,Europe,Unlawful interception or access of computer data,Total,2023
ALB,Albania,Europe,Acts that cause environmental pollution or degradation,Total,2015
